,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
TENURE,11.5173184358,11.6253071253,11.4227035101,11.4289748659,11.8554070474,11.4062699936,11.5177139037,11.3397976391,11.3330049261,11.5232469512,11.8504155125,11.4824840764,11.3535055351,11.8900979325,11.4659820282,11.3460076046,11.2992465016,11.7596782303,11.3238731219,11.8625,11.4919499106,11.3901601831,11.1500572738,11.9063926941,11.3177570093,11.7536973834,11.8788368336,11.702283105,11.8576206402,11.48,11.8844847112,11.7742134485,11.9348837209,7.04372623574
MONTHLY_AVG_PURCHASE,80.5562575142,132.12763853,81.3639226095,20.9750701948,258.557368341,21.5596302884,53.98080762,56.0599458534,62.3923595327,65.0606368348,275.71818083,19.0167202158,30.2760844811,336.348444492,14.0072968182,52.0724491465,62.2220900299,101.716260128,30.7603871565,348.073655293,13.2939940083,50.1156220671,46.0508749548,188.456356127,28.574406638,111.86554069,375.240813793,28.7582155413,12.3582562631,46.2661275077,115.575997652,50.4683193627,188.526784708,52.001117237
MONTHLY_AVG_CASH_ADVANCE,84.9210981292,15.384041042,354.396425322,62.9466161281,25.8946778646,68.048745729,14.6755802522,388.525694122,416.578620061,19.1954596785,25.3870712424,81.423276781,33.6925760522,21.5067698113,88.6482110405,5.69487024314,435.33641528,36.9224862147,38.6104987301,20.1695929695,84.1610466326,12.9046011872,450.48988459,114.171375292,37.3255609444,27.0554387464,22.4693920827,34.2935776542,76.5237012388,447.568951111,24.7378106239,9.88823347544,112.001059825,156.821832119
PURCHASE_TYPE_OFF_PAY,0.519329608939,0.605896805897,0.486930545183,0.432081332957,0.989671931956,0.479846449136,0.32820855615,0.452782462057,0.486699507389,0.400152439024,0.990997229917,0.414808917197,0.465682656827,0.990206746464,0.34702610184,0.1463878327,0.48654467169,0.79537456008,0.552587646077,0.9875,0.346153846154,0.08352402746,0.449026345934,0.611872146119,0.508920985556,1.0,0.987075928918,0.51598173516,0.350692785475,0.4575,1.0,0.0882171499075,0.616279069767,0.376425855513
PURCHASE_TYPE_INSTALLMENT,0.562458100559,0.935380835381,0.427184466019,0.184975995482,0.828068043742,0.0770953294946,1.0,0.369308600337,0.388177339901,1.0,0.824099722992,0.0891719745223,0.444280442804,0.834602829162,0.0633290543432,1.0,0.372443487621,0.903971845148,0.331385642738,0.854166666667,0.0715563506261,1.0,0.315005727377,0.815068493151,0.368734069669,0.821956769056,0.857835218094,0.387214611872,0.0783564261825,0.3275,0.827859569649,1.0,0.820930232558,0.412547528517
LIMIT_USAGE,0.38598157157,0.243661875388,0.660636933253,0.445704145468,0.266178234563,0.479228456583,0.250655142792,0.647872975507,0.644236065991,0.323023375915,0.243522197982,0.615193062382,0.0413366004304,0.183299436901,0.61744673531,0.0707573435494,0.636436032704,0.543878960661,0.048773328352,0.140463814396,0.625307387742,0.201018665772,0.602357392671,0.814160282346,0.0452867614003,0.380017318994,0.146353124892,0.0421763149398,0.630646331711,0.608674463535,0.362761721444,0.198047635038,0.817002416713,0.376223607672
PAYMENT_RATIO,5.20629062054,6.88667496965,3.4537922016,3.93756175359,10.6210658178,4.01820529639,4.12688409142,3.54593571651,3.61986159721,3.40941041855,10.9920034461,2.19927363694,9.28326217143,14.8165289728,2.18709515004,4.84340596136,3.78080530892,2.61991215723,9.60133684676,17.7400323123,2.16814679562,3.98389754789,4.225165045,0.945822430296,9.55874388152,3.78735368771,19.0629655999,9.93169686158,2.17133251098,4.27560550614,4.07108371638,4.06692255291,0.932749322208,3.37060156609
cluster_3,0.940893854749,0.0,1.0,2.0,0.089914945322,1.97024952015,0.30314171123,1.01770657673,1.00295566502,0.189024390244,0.0851800554017,1.93113057325,1.42656826568,0.0587595212187,1.92212237912,0.118504435995,1.00107642626,0.387631975867,1.65859766277,0.0263888888889,1.94186046512,0.171624713959,1.02520045819,0.776255707763,1.61767204758,0.353242320819,0.032310177706,1.58447488584,1.93358815098,1.01375,0.310305775764,0.167180752622,0.767441860465,1.25285171103
cluster_4,1.41541899441,1.24619164619,2.68707991038,1.12905958769,0.0,1.0,2.0,3.0,2.99408866995,1.8730945122,0.00761772853186,1.11066878981,1.41180811808,0.0,1.15832263586,1.94676806084,2.99031216362,1.28808446456,1.29298831386,0.00694444444444,1.11314847943,1.99313501144,2.97479954181,1.73744292237,1.34324553951,0.996018202503,0.00807754442649,1.3598173516,1.13186813187,2.9825,0.932049830125,1.97902529303,1.73720930233,1.55513307985
cluster_5,2.06346368715,1.614004914,0.575802837939,3.14261508049,1.957472661,3.20441458733,1.58589572193,0.408094435076,0.0,1.0,2.0,3.0,4.0,2.00870511425,2.92468977321,1.40494296578,0.0021528525296,1.42785319256,3.94657762938,2.01527777778,2.9476744186,1.25686498856,0.137457044674,1.14840182648,3.99150382328,1.65415244596,2.01453957997,3.98538812785,2.93119923555,0.06375,1.65402038505,1.25786551511,1.13953488372,2.32129277567
cluster_6,2.48335195531,2.46904176904,2.74757281553,2.39988703756,1.74058323208,2.19673704415,3.06517379679,2.8018549747,2.9763546798,2.94016768293,1.42313019391,1.3097133758,4.53505535055,0.0,1.0,2.0,3.0,4.0,5.0,0.0861111111111,1.08497316637,2.32265446224,2.88316151203,2.90867579909,4.86491079014,3.50455062571,0.0306946688207,4.8502283105,1.10559006211,2.93,3.34541336353,2.32510795805,2.92325581395,2.47908745247
cluster_7,2.96491620112,3.28353808354,3.07020164302,2.55888167184,3.18347509113,2.39539347409,3.41209893048,3.03456998314,3.14679802956,3.41158536585,2.87188365651,1.56170382166,4.66420664207,1.30794341676,1.2135216089,2.24397972117,3.1130247578,5.0930115636,4.95409015025,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0064620355412,4.97534246575,1.06880076445,3.005,5.70781426954,1.99629858112,4.00465116279,2.6711026616
cluster_8,3.25273743017,3.79312039312,3.69380134429,2.46484044055,2.63183475091,2.42418426104,4.33389037433,3.57082630691,3.61477832512,4.79611280488,2.49168975069,2.65445859873,1.91291512915,1.47769314472,2.5459991442,4.96831432193,3.54036598493,4.4012066365,1.60350584307,0.581944444444,2.40697674419,5.13672768879,3.27376861397,5.95433789954,1.47918436703,4.05290102389,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
